idRuta,rutaDirection,estNumber,estId
128,B,6,2232
128,B,7,2240
128,B,8,2241
128,B,9,2286
128,B,10,2287
128,B,11,2228
128,B,12,2224
128,B,13,2225
128,B,14,2236
128,B,15,2252
128,B,16,2253
128,B,17,2254
128,B,18,1074
128,B,19,1076
128,B,20,1078
128,B,21,1080
128,B,22,1082
128,B,23,1084
128,B,24,1086
128,B,25,1088
128,B,26,215
128,B,27,220
128,B,28,223
128,B,29,224
128,B,30,228
128,B,31,231
128,B,32,234
128,B,33,236
128,B,34,238
128,B,35,240
128,B,36,1947
128,B,37,1948
128,B,38,1949
128,B,39,2022
128,B,40,2023
128,B,41,2294
128,B,42,1433
128,B,43,1435
128,B,44,1715
128,B,45,1827
128,B,46,1726
128,B,47,1751
128,B,48,1736
128,B,49,2082
128,B,50,7209
344,,0,7710
344,,1,7596
344,,2,7593
344,,3,7590
344,,4,7589
344,,5,7603
344,,6,7605
344,,7,7606
344,,8,7610
344,,9,7612
344,,10,7616
344,,11,7617
536,,1,3123
536,,2,7774
536,,3,3224
536,,4,3986
536,,5,3985
536,,6,7775
536,,7,3647
536,,8,5132
536,,9,5138
545,,1,1405
545,,2,1781
545,,3,1755
545,,4,1766
545,,5,1740
545,,6,4661
545,,7,5147
545,,8,4660
545,,9,1310
170,A,1,2231
170,A,2,2229
170,A,3,358
170,A,4,360
170,A,5,362
170,A,6,364
170,A,7,366
170,A,8,368
170,A,9,370
170,A,10,372
170,A,11,9
170,A,12,10
170,A,13,11
170,A,14,13
170,A,15,16
170,A,16,19
170,A,17,22
170,A,18,25
170,A,19,470
170,A,20,473
170,A,21,475
170,A,22,478
170,A,23,482
170,A,24,485
170,A,25,488
170,A,26,492
170,A,27,496
170,A,28,500
170,A,29,503
170,A,30,509
170,A,31,513
170,A,32,515
170,A,33,520
170,A,34,524
170,A,35,528
170,A,36,532
170,A,37,536
170,A,38,540
170,A,39,545
170,A,40,547
170,A,41,552
170,A,42,557
170,A,43,561
170,A,44,564
170,A,45,568
170,A,46,571
170,A,47,573
170,A,48,575
170,A,49,577
170,A,50,579
170,A,51,581
170,A,52,1594
170,A,53,1595
170,A,54,1597
170,A,55,1599
170,A,56,1459
170,A,57,1460
170,A,58,1461
170,A,59,1462
170,A,60,1464
170,A,61,1466
170,A,62,1532
170,A,63,1534
170,A,64,1536
170,A,65,1538
170,A,66,1540
170,A,67,2176
170,A,68,2628
170,A,69,4857
170,A,70,1462
170,B,1,2231
170,B,2,2229
170,B,3,358
170,B,4,360
170,B,5,362
170,B,6,364
170,B,7,366
170,B,8,368
170,B,9,370
170,B,10,372
170,B,11,9
170,B,12,10
170,B,13,11
170,B,14,13
170,B,15,16
170,B,16,19
170,B,17,22
170,B,18,25
170,B,19,470
170,B,20,473
170,B,21,475
170,B,22,478
170,B,23,482
170,B,24,485
170,B,25,488
170,B,26,492
170,B,27,496
170,B,28,500
170,B,29,503
170,B,30,509
170,B,31,513
170,B,32,515
170,B,33,520
170,B,34,524
170,B,35,528
170,B,36,532
170,B,37,536
170,B,38,540
170,B,39,545
170,B,40,547
170,B,41,552
170,B,42,557
170,B,43,561
170,B,44,564
170,B,45,568
170,B,46,571
170,B,47,573
170,B,48,575
170,B,49,577
170,B,50,579
170,B,51,581
170,B,52,1594
170,B,53,1595
170,B,54,1597
170,B,55,1599
170,B,56,1459
170,B,57,1460
170,B,58,1461
391,,0,7691
170,B,59,1462
391,,1,7690
170,B,60,1464
170,B,61,1466
391,,2,7689
170,B,62,1532
391,,3,7688
170,B,63,1534
170,B,64,1536
391,,4,7753
170,B,65,1538
170,B,66,1540
391,,5,7683
170,B,67,2176
170,B,68,2628
391,,6,7681
170,B,69,4857
170,B,70,1462
391,,7,7678
391,,8,7657
391,,9,7655
391,,10,7714
218,A,1,4759
218,A,2,3572
218,A,3,3576
218,A,4,3105
218,A,5,4087
218,A,6,4088
218,A,7,4084
218,A,8,4083
218,A,9,4103
218,A,10,4115
218,A,11,1894
218,A,12,1797
218,A,13,1762
218,A,14,1763
218,A,15,2057
218,A,16,1716
218,A,17,2191
218,A,18,2365
218,A,19,2192
218,A,20,1047
218,A,21,1048
218,A,22,1049
218,A,23,1050
218,A,24,620
218,A,25,626
218,A,26,630
218,A,27,634
218,A,28,637
218,A,29,641
218,A,30,645
218,A,31,648
218,A,32,2447
218,A,33,2596
218,A,34,2440
218,A,35,2799
218,A,36,2800
218,A,37,3016
218,A,38,3017
218,A,39,3018
218,A,40,2801
218,A,41,2802
218,A,42,2803
218,A,43,696
218,A,44,698
218,A,45,699
218,A,46,702
218,A,47,705
218,A,48,708
218,A,49,711
218,A,50,2545
218,B,1,4759
218,B,2,3572
218,B,3,3576
218,B,4,3105
218,B,5,4087
218,B,6,4088
218,B,7,4084
218,B,8,4083
218,B,9,4103
218,B,10,4115
218,B,11,1894
218,B,12,1797
218,B,13,1762
218,B,14,1763
218,B,15,2057
218,B,16,1716
218,B,17,2191
218,B,18,2365
218,B,19,2192
218,B,20,1047
218,B,21,1048
218,B,22,1049
218,B,23,1050
218,B,24,620
218,B,25,626
218,B,26,630
218,B,27,634
218,B,28,637
218,B,29,641
218,B,30,645
218,B,31,648
218,B,32,2447
218,B,33,2596
