idRuta,tipoRuta,codigoRuta,rutaNombre,rutaLink
238,9,17-7,La Esmeralda,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=238&tr=&estacion=&tipoRuta=9
240,9,18-2,Barrancas - Porciúncula,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=240&tr=&estacion=&tipoRuta=9
239,9,18-3,Auto Norte - Est. Terminal - Germania,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=239&tr=&estacion=&tipoRuta=9
648,9,19-10,Prado,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=648&tr=&estacion=&tipoRuta=9
633,9,19-11,Canódromo,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=633&tr=&estacion=&tipoRuta=9
245,9,19-12,Cantalejo,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=245&tr=&estacion=&tipoRuta=9
242,9,19-2,Colina,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=242&tr=&estacion=&tipoRuta=9
243,9,19-6,Cedritos,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=243&tr=&estacion=&tipoRuta=9
244,9,19-7,Cantabria,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=244&tr=&estacion=&tipoRuta=9
254,9,2-12,Tibabita,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=254&tr=&estacion=&tipoRuta=9
637,9,2-6,Guaymaral,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=637&tr=&estacion=&tipoRuta=9
253,9,8-10,Mundo Aventura,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=253&tr=&estacion=&tipoRuta=9
247,9,T13-2,Marruecos - Est. 1 de Mayo,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=247&tr=&estacion=&tipoRuta=9
248,9,T13-4,Diana Turbay - Lomas,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=248&tr=&estacion=&tipoRuta=9
255,10,10-10,Cazucá,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=255&tr=&estacion=&tipoRuta=10
256,10,10-11,Bella Flor,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=256&tr=&estacion=&tipoRuta=10
257,10,10-12,Quiba,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=257&tr=&estacion=&tipoRuta=10
258,10,14-6,El Verjón,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=258&tr=&estacion=&tipoRuta=10
259,10,18-11,Unicerros,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=259&tr=&estacion=&tipoRuta=10
260,10,18-12,El Paraíso,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=260&tr=&estacion=&tipoRuta=10
267,10,18-13,Lomitas y Capilla,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=267&tr=&estacion=&tipoRuta=10
268,10,18-14,Torca- Tibabita,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=268&tr=&estacion=&tipoRuta=10
266,10,18-6,Serrezuela,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=266&tr=&estacion=&tipoRuta=10
261,10,18-7,Soratama,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=261&tr=&estacion=&tipoRuta=10
262,10,18-8,Bosque Calderón,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=262&tr=&estacion=&tipoRuta=10
263,10,18-9,Cerro Norte,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=263&tr=&estacion=&tipoRuta=10
264,10,6-18,Pasquilla,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=264&tr=&estacion=&tipoRuta=10
269,10,T07,Sidel,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=269&tr=&estacion=&tipoRuta=10
265,10,T08,Portal Suba - Tuna Alta,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=265&tr=&estacion=&tipoRuta=10
