estId,estSITPNumber,estNombre,estDireccion,estLink,estlongtitude,estlatitude
3241,253A01,Br. Santa Bárbara Central II Sector,AC 116 - KR 11 A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3241,"-74,038183","4,695341"
2919,255A01,Br. Santa Bárbara Central,AC 116 - KR 14-46,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2919,"-74,041268","4,69615"
408,281B01,Calle 119,AK 15 - CL 118A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=408,"-74,042965","4,698227"
410,018B01,Br. Santa Bárbara Central,AK 15 - CL 122,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=410,"-74,042767","4,701599"
2230,184A01,Hotel Estelar la Fontana,AC 127 - KR 15A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2230,"-74,043877","4,704391"
2231,186A01,Carrera 16A,AC 127 - KR 16A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2231,"-74,045057","4,704552"
2232,188A01,Pq. Público la Calleja,AC 127 - KR 18B,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2232,"-74,047629","4,705275"
3123,022A03,Br. El Carmen Tuna Baja,CL 153 - KR 109 A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3123,"-74,095328","4,756643"
6358,566A03,Br. Los Almendros del Norte,KR 114 - CL 152D,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=6358,"-74,098014","4,75783"
3224,119A03,Urbanización Los Almendros Norte,CL 152B - KR 114 D,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3224,"-74,099816","4,75685"
4270,135A03,Br. Rincón de Santa Inés,KR 115 - CL 151 A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4270,"-74,101905","4,755094"
2742,133A03,Br. La Fontana,KR 115 - CL 147 A - 09 / 15,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2742,"-74,103369","4,752778"
4530,417A03,Conjunto Residencial Catigua,DG 146 - KR 128,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4530,"-74,10614","4,753753"
3893,411A03,Conjunto Residencial Yerbamora II,KR 128 - CL 144,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3893,"-74,108867","4,752411"
2941,066A03,Parques del Campo,CL 143A - KR 128,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2941,"-74,109277","4,750636"
3259,291A03,Pq. Sabana de Tibabuyes,KR 128 - CL 142,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3259,"-74,110103","4,747493"
3710,289A03,Sabana de Tibabuyes,CL 142 - KR 130,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3710,"-74,112005","4,747347"
4235,283A03,Br. Berlín,TV 138 - CL 137,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4235,"-74,11448","4,746399"
3184,096A03,Br. La Toscana,CL 132 D - KR 140 C,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3184,"-74,116331","4,744797"
2897,129A03,Br. Lisboa,CL 132 D - KR 149 C,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2897,"-74,119629","4,744406"
3185,127A03,Hospital Suba CAP Lisboa,CL 132 D - KR 151 A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3185,"-74,121948","4,743481"
4257,074A12,Br. Brisas del Llano,CL 115 Sur - TV 6D Este,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4257,"-74,1053","4,486609"
5114,369A12,Br. El Uval II Sector,CL 115 Sur - KR 6B Este,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=5114,"-74,102377","4,485487"
5110,167A12,IED Ciudad de Villavicencio,KR 6H Este - CL 114A Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=5110,"-74,103239","4,486949"
2756,168A12,Br. Puerta al Llano,CL 105A ? KR  7A Este,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2756,"-74,102553","4,488609"
4428,212A12,Br. Puerta al Llano,KR 8A Este - CL 114 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4428,"-74,099778","4,487912"
3288,171A12,Br. Puerta al Llano,KR 7C Este - CL 114 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3288,"-74,101613","4,487485"
2744,169A12,Br. Nuevo Porvenir,CL 105A - KR 7A Este,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2744,"-74,102846","4,488608"
2745,375A12,Br. Nuevo Porvenir,TV 6F Este ? CL 105A Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2745,"-74,103919","4,48887"
2548,166A12,Br. Nuevo Portal,TV 6A Este ? CL 101 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2548,"-74,104284","4,490069"
2414,173A12,Br. Nuevo Portal,KR 5B Este ? DG 98B Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2414,"-74,1043","4,492655"
3780,181A12,Br. Nuevo Portal,KR 6 Este - CL 96 Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3780,"-74,103683","4,494735"
3289,183A12,Br. Alfonso López Sector La Alborada,CL 94 Sur - KR 5H Este,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3289,"-74,104184","4,497131"
3290,177A12,Br. Alfonso López Sector La Alborada,CL 94 Sur - KR 5C Bis Este,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3290,"-74,106276","4,497453"
4429,179A12,Br. Charalá,CL 91 Sur - KR 2A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4429,"-74,108261","4,49949"
